w/HHLC	324					w/oHHLC	324						w/HHLC 24				
index	bin	occurnace				index	bin	occurnace					index	bin	occurnace		
84	683.812	18	16.2812381	293.0622857		84	658.875	24	15.6875	376.5			84	416.062	17	9.906238095	168.4060476
85	691.953	19	16.47507143	313.0263571		85	666.719	33	15.8742619	523.8506429			85	421.016	11	10.02419048	110.2660952
86	700.094	26	16.66890476	433.3915238		86	674.562	32	16.061	513.952			86	425.969	16	10.14211905	162.2739048
87	708.234	19	16.86271429	320.3915714		87	682.406	26	16.2477619	422.4418095			87	430.922	22	10.26004762	225.7210476
88	716.375	24	17.05654762	409.3571429		88	690.25	21	16.43452381	345.125			88	435.875	20	10.37797619	207.5595238
89	724.516	17	17.25038095	293.2564762		89	698.094	21	16.62128571	349.047			89	440.828	19	10.49590476	199.4221905
90	732.656	26	17.44419048	453.5489524		90	705.938	13	16.80804762	218.504619			90	445.781	24	10.61383333	254.732
91	740.797	17	17.63802381	299.8464048		91	713.781	22	16.99478571	373.8852857			91	450.734	17	10.7317619	182.4399524
92	748.938	27	17.83185714	481.4601429		92	721.625	12	17.18154762	206.1785714			92	455.688	15	10.84971429	162.7457143
93	757.078	19	18.02566667	342.4876667		93	729.469	20	17.36830952	347.3661905			93	460.641	12	10.96764286	131.6117143
94	765.219	18	18.2195	327.951		94	737.312	21	17.55504762	368.656			94	465.594	17	11.08557143	188.4547143
95	773.359	23	18.41330952	423.506119		95	745.156	14	17.74180952	248.3853333			95	470.547	16	11.2035	179.256
96	781.5	23	18.60714286	427.9642857		96	753	22	17.92857143	394.4285714			96	475.5	19	11.32142857	215.1071429
97	789.641	23	18.80097619	432.4224524		97	760.844	20	18.11533333	362.3066667			97	480.453	15	11.43935714	171.5903571
98	797.781	19	18.99478571	360.9009286		98	768.688	10	18.30209524	183.0209524			98	485.406	12	11.55728571	138.6874286
99	805.922	19	19.18861905	364.5837619		99	776.531	12	18.48883333	221.866			99	490.359	13	11.67521429	151.7777857
100	814.062	18	19.38242857	348.8837143		100	784.375	18	18.67559524	336.1607143			100	495.312	18	11.79314286	212.2765714
101	822.203	16	19.5762619	313.2201905		101	792.219	15	18.86235714	282.9353571			101	500.266	10	11.91109524	119.1109524
102	830.344	13	19.77009524	257.0112381		102	800.062	9	19.04909524	171.4418571			102	505.219	18	12.02902381	216.5224286
103	838.484	21	19.96390476	419.242		103	807.906	11	19.23585714	211.5944286			103	510.172	14	12.14695238	170.0573333
104	846.625	21	20.1577381	423.3125		104	815.75	10	19.42261905	194.2261905			104	515.125	16	12.26488095	196.2380952
105	854.766	18	20.35157143	366.3282857		105	823.594	11	19.60938095	215.7031905			105	520.078	18	12.38280952	222.8905714
106	862.906	15	20.54538095	308.1807143		106	831.438	13	19.79614286	257.3498571			106	525.031	16	12.5007381	200.0118095
107	871.047	7	20.73921429	145.1745		107	839.281	9	19.98288095	179.8459286			107	529.984	14	12.61866667	176.6613333
108	879.188	12	20.93304762	251.1965714		108	847.125	13	20.16964286	262.2053571			108	534.938	12	12.73661905	152.8394286
109	887.328	12	21.12685714	253.5222857		109	854.969	3	20.35640476	61.06921429			109	539.891	13	12.85454762	167.109119
110	895.469	12	21.32069048	255.8482857		110	862.812	6	20.54314286	123.2588571			110	544.844	12	12.97247619	155.6697143
111	903.609	11	21.5145	236.6595		111	870.656	14	20.72990476	290.2186667			111	549.797	16	13.09040476	209.4464762
112	911.75	12	21.70833333	260.5		112	878.5	6	20.91666667	125.5			112	554.75	16	13.20833333	211.3333333
113	919.891	6	21.90216667	131.413		113	886.344	7	21.10342857	147.724			113	559.703	21	13.3262619	279.8515
114	928.031	4	22.09597619	88.38390476		114	894.188	8	21.29019048	170.3215238			114	564.656	11	13.44419048	147.8860952
115	936.172	8	22.28980952	178.3184762		115	902.031	7	21.47692857	150.3385			115	569.609	13	13.56211905	176.3075476
116	944.312	8	22.48361905	179.8689524		116	909.875	10	21.66369048	216.6369048			116	574.562	18	13.68004762	246.2408571
117	952.453	8	22.67745238	181.419619		117	917.719	5	21.85045238	109.2522619			117	579.516	11	13.798	151.778
118	960.594	9	22.87128571	205.8415714		118	925.562	7	22.03719048	154.2603333			118	584.469	13	13.91592857	180.9070714
119	968.734	11	23.06509524	253.7160476		119	933.406	9	22.22395238	200.0155714			119	589.422	16	14.03385714	224.5417143
120	976.875	6	23.25892857	139.5535714		120	941.25	7	22.41071429	156.875			120	594.375	11	14.15178571	155.6696429
121	985.016	4	23.4527619	93.81104762		121	949.094	7	22.59747619	158.1823333			121	599.328	10	14.26971429	142.6971429
122	993.156	2	23.64657143	47.29314286		122	956.938	7	22.7842381	159.4896667			122	604.281	12	14.38764286	172.6517143
123	1001.297	11	23.84040476	262.2444524		123	964.781	5	22.97097619	114.854881			123	609.234	11	14.50557143	159.5612857
124	1009.438	3	24.0342381	72.10271429		124	972.625	6	23.1577381	138.9464286			124	614.188	14	14.62352381	204.7293333
125	1017.578	8	24.22804762	193.824381		125	980.469	2	23.3445	46.689			125	619.141	14	14.74145238	206.3803333
126	1025.719	12	24.42188095	293.0625714		126	988.312	3	23.5312381	70.59371429			126	624.094	18	14.85938095	267.4688571
